student_id,course_id,weekly_login_frequency,average_session_time,content_completion_rate,forum_participation_score,assessment_timeliness
13088,161,0.0,4.79,0.54,0.1,0.54
17179,150,0.0,4.68,0.57,0.1,0.43
8393,135,1.0,15.57,0.37,0.0,0.53
6107,50,0.0,20.97,0.36,0.0,0.52
12808,154,0.0,5.2,0.42,0.1,0.5
5347,91,1.0,5.42,0.27,0.0,0.5
19511,180,0.0,1.0,0.5,0.0,0.5
10035,143,0.0,1.6,0.63,0.1,0.52
19804,29,0.0,4.86,0.59,0.0,0.59
5465,49,0.0,1.0,0.36,0.1,0.5
750,154,0.0,42.84,0.49,0.1,0.48
7583,90,0.0,7.3,0.71,0.0,0.9
8851,111,0.0,7.32,0.75,0.0,0.57
15727,135,0.0,2.4,0.4,0.0,0.44
3967,69,0.0,2.4,0.5,0.1,0.5
4543,80,0.0,1.04,0.48,0.0,0.47
14839,33,1.0,3.57,0.41,0.0,0.53
11554,63,0.0,28.69,0.65,0.0,0.49
6633,16,1.0,21.12,0.47,0.0,0.49
18656,159,1.0,13.7,0.61,0.0,0.51
17208,156,0.0,30.85,0.45,0.0,0.48
11649,8,0.0,24.2,0.13,0.0,0.53
17396,121,0.0,30.22,0.84,0.1,0.58
1178,166,0.0,17.09,0.41,0.1,0.5
5185,131,0.0,2.62,0.83,0.0,0.54
17082,126,0.0,1.58,0.67,0.0,0.56
1576,79,0.0,15.99,0.43,0.0,0.41
2043,86,0.0,7.78,0.46,0.1,0.53
13106,54,0.0,3.69,0.37,0.0,0.52
18485,96,1.0,4.61,0.59,0.0,0.43
7808,161,0.0,14.5,0.41,0.0,0.57
693,107,0.0,3.61,0.68,0.1,0.55
11497,105,1.0,4.76,0.61,0.0,0.47
7333,79,0.0,18.02,0.82,0.1,0.39
4268,62,0.0,8.74,0.34,0.0,0.53
2767,107,0.0,32.25,0.2,0.0,0.5
2172,42,0.0,6.42,0.53,0.0,0.44
15960,28,0.0,3.51,0.37,0.0,0.49
6047,9,1.0,22.89,0.72,0.0,0.55
11972,125,1.0,3.74,0.47,0.0,0.46
5592,88,0.0,18.47,0.75,0.1,0.53
14895,7,0.0,45.55,0.51,0.0,0.49
1818,83,1.0,16.47,0.26,0.0,0.47
15699,171,0.0,4.73,0.54,0.0,0.5
5447,173,0.0,12.65,0.38,0.1,0.49
6319,141,1.0,3.76,0.27,0.0,0.41
16992,44,0.0,5.25,0.57,0.0,0.47
3715,131,1.0,46.93,0.37,0.0,0.59
6394,9,1.0,12.81,0.24,0.0,0.55
9526,166,0.0,8.38,0.55,0.1,0.49
9811,1,0.0,1.87,0.38,0.0,0.53
9790,135,0.0,8.08,0.27,0.0,0.54
4435,81,0.0,3.72,0.27,0.0,0.52
5464,122,0.0,1.36,0.47,0.0,0.5
5193,30,0.0,6.22,0.33,0.0,0.4
19153,74,0.0,2.49,0.46,0.1,0.54
3469,75,0.0,14.52,0.55,0.0,0.51
11991,92,1.0,1.32,0.43,0.0,0.48
7198,31,1.0,7.97,0.34,0.0,0.45
16048,119,1.0,11.36,0.61,0.0,0.76
15323,124,1.0,13.96,0.23,0.0,0.52
13123,135,0.0,8.62,0.65,0.0,0.59
2714,75,0.04,2.35,0.29,0.0,0.54
1746,146,0.0,1.7,0.5,0.0,0.48
18096,30,0.0,4.36,0.24,0.1,0.48
5856,7,1.0,3.4,0.58,0.0,0.57
4488,47,1.0,6.93,0.55,0.0,0.5
14302,52,1.0,21.04,0.77,0.0,0.48
13159,55,1.0,18.15,0.31,0.0,0.57
16917,119,0.0,15.61,0.48,0.0,0.39
11702,108,0.0,21.6,0.33,0.0,0.49
15085,87,1.0,18.74,0.52,0.0,0.52
6322,4,0.0,13.82,0.48,0.0,0.56
15578,114,0.0,5.78,0.64,0.0,0.42
16009,68,0.0,12.11,0.54,0.0,0.45
3728,116,0.0,2.2,0.62,0.0,0.47
185,83,0.0,5.94,0.59,0.0,0.49
2550,74,1.0,6.81,0.49,0.0,0.55
12247,47,1.0,1.0,0.58,0.0,0.95
13447,102,0.0,37.22,0.63,0.1,0.5
16708,77,0.0,13.8,0.5,0.0,0.56
8994,20,0.0,20.37,0.54,0.1,0.53
17497,64,0.0,14.62,0.61,0.0,0.51
4483,168,1.0,1.0,0.17,0.0,0.67
19446,95,0.0,17.37,0.17,0.1,0.51
18969,54,1.0,12.57,0.73,0.0,0.46
1413,26,0.0,6.14,0.7,0.0,0.51
4318,20,0.0,14.91,0.6,0.1,0.48
16395,23,1.0,25.46,0.37,0.0,0.52
7491,45,0.0,7.08,0.65,0.0,0.5
11227,96,0.0,36.57,0.52,0.0,0.48
1987,91,0.0,56.73,0.43,0.0,0.5
15228,157,0.0,11.8,0.37,0.0,0.58
6463,2,0.0,33.44,0.39,0.0,0.52
7151,118,0.0,6.37,0.64,0.0,0.61
18004,138,0.0,23.58,0.83,0.0,0.55
7887,99,1.0,8.13,0.57,0.0,0.63
5061,130,0.0,48.06,0.56,0.0,0.67
18242,148,0.0,20.76,0.8,0.0,0.5
15369,136,0.0,28.91,0.73,0.0,0.49
3952,170,0.0,27.28,0.65,0.1,0.44
6966,159,0.0,1.0,0.57,0.1,0.56
3714,138,0.0,18.65,0.28,0.1,0.49
5626,82,0.0,32.96,0.6,0.0,0.51
1332,16,1.0,12.76,0.65,0.0,0.49
6342,49,1.0,4.89,0.32,0.0,0.73
16624,107,0.0,9.78,0.43,0.0,0.46
11376,92,0.0,3.37,0.68,0.1,0.6
9038,50,0.0,36.47,0.46,0.0,0.53
2652,83,0.0,31.9,0.63,0.0,0.42
19862,130,1.0,30.92,0.16,0.0,0.47
2704,71,1.0,5.41,0.26,0.0,0.42
14725,92,0.0,1.0,0.41,0.0,0.52
4284,93,0.0,18.62,0.71,0.0,0.47
18371,137,0.0,4.84,0.58,0.0,0.41
975,100,0.0,13.64,0.21,0.0,0.49
12322,31,0.0,13.41,0.49,0.0,0.57
12740,85,1.0,26.86,0.57,0.0,0.54
8874,109,0.0,23.21,0.16,0.0,0.56
10797,56,1.0,20.31,0.45,0.0,0.48
16414,169,0.0,11.4,0.67,0.0,0.53
6737,40,0.0,4.21,0.71,0.1,0.55
12533,80,0.0,22.18,0.66,0.0,0.45
10545,114,0.0,1.22,0.35,0.0,0.5
10811,40,0.0,118.39,0.15,0.0,0.53
5892,145,1.0,5.85,0.8,0.0,0.54
9205,174,1.0,1.0,0.89,0.0,0.49
9173,77,1.0,4.25,0.23,0.0,0.42
9383,81,0.0,2.44,0.85,0.0,0.8
18937,118,0.0,49.31,0.73,0.0,0.43
14433,104,0.0,4.37,0.34,0.0,0.52
18916,65,0.0,9.55,0.7,0.1,0.51
17007,143,0.0,53.82,0.65,0.0,0.57
3449,10,0.0,18.95,0.75,0.0,0.5
19310,129,0.0,11.55,0.82,0.1,0.57
13912,144,0.0,7.89,0.84,0.1,0.52
19173,19,0.0,16.51,0.68,0.0,0.54
15997,70,1.0,9.11,0.23,0.0,0.5
12353,30,0.0,9.45,0.27,0.0,0.45
14985,4,0.0,21.89,0.22,0.0,0.5
329,141,0.0,4.91,0.19,0.0,0.53
14321,48,0.0,1.0,0.25,0.1,0.54
